t, x, y, z,fl
1540692467.013,39195,-84805,5908.42508804239,5.02630579226119E-06
1540692782.994,39195,-84805,5907.90008803457,4.75788451967871E-06
1540693099.662,39195,-84805,5907.45008802787,4.77513340132976E-06
1540693417.286,39195,-84805,5907.82508803345,4.77685047995038E-06
1540693732.64,39195,-84805,5908.07508803718,4.42568172984577E-06
1540694049.967,39195,-84805,5907.45008802787,4.79379258681476E-06
1540694366.897,39195,-84805,5907.25008802488,4.81346425831722E-06
1540694680.624,39195,-84805,5906.75008801743,4.77437520473216E-06
1540694997.105,39195,-84805,5907.15008802339,4.77314582113607E-06
1540695313.199,39195,-84805,5907.35008802638,4.61511685403741E-06
1540695629.898,39195,-84805,5907.325088026,4.7422884615692E-06
1540695946.271,39195,-84805,5907.20008802414,4.74878429978125E-06
1540696265.285,39195,-84805,5907.22508802451,4.91590480539449E-06
1540696583.347,39195,-84805,5907.17508802377,4.76207685006756E-06
1540696897.412,39195,-84805,5906.70008801669,4.98355996404034E-06
1540697214.634,39195,-84805,5907.12508802302,4.76360659036967E-06
1540697527.363,39195,-84805,5907.10008802265,4.65458310452068E-06
1540697841.842,39195,-84805,5907.07508802228,4.78172017598855E-06
1540698157.893,39195,-84805,5906.47508801334,4.92732536287795E-06
1540698472.504,39195,-84805,5906.65008801594,4.87461209305572E-06
1540698787.393,39195,-84805,5906.90008801967,5.03631192208637E-06
1540699101.137,39195,-84805,5906.62508801557,4.68781036430424E-06
1540699417.088,39195,-84805,5906.6000880152,4.70424033221789E-06
1540699732.047,39195,-84805,5906.50008801371,4.86837222601414E-06
1540700049.031,39195,-84805,5906.17508800887,4.78955395059044E-06
1540700362.85,39195,-84805,5906.17508800887,4.81247522226243E-06
1540700678.812,39195,-84805,5906.27508801036,4.77542056935206E-06
1540700995.735,39195,-84805,5906.15008800849,4.79962009189529E-06
1540701310.581,39195,-84805,5906.45008801296,5.01805465686225E-06
1540701625.46,39195,-84805,5905.85008800402,4.88919221480507E-06
