t,x,y,z,fl
1.542444657811000109e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791125086294487119e+03,3.955696590017986536e-06
1.542444972384000063e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792050086308270693e+03,3.978538733674753969e-06
1.542445285816999912e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791925086306408048e+03,4.189357859487954283e-06
1.542445598615999937e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791825086304917932e+03,3.702289286053360956e-06
1.542445911283999920e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791300086297094822e+03,3.929622303726327094e-06
1.542446223372999907e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791375086298212409e+03,3.995349266118844106e-06
1.542446534717000008e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791375086298212409e+03,4.004735510893079588e-06
1.542446849617000103e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791825086304917932e+03,4.013463461244251375e-06
1.542447162283999920e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791750086303800344e+03,3.946309001451306520e-06
1.542447475625000000e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791750086303800344e+03,3.713170111956004135e-06
1.542447790487999916e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790725086288526654e+03,3.724071880007830937e-06
1.542448105913000107e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791625086301937699e+03,4.175693584844054054e-06
1.542448417641000032e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791525086300447583e+03,3.904708162305289976e-06
1.542448732138999939e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790500086285173893e+03,3.879641869879182328e-06
1.542449049279000044e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791350086297839880e+03,4.073705137793042176e-06
1.542449361444000006e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791350086297839880e+03,3.890735236052666173e-06
1.542449677082000017e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790325086282566190e+03,3.869842353669058191e-06
1.542449993105999947e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791600086301565170e+03,4.144215767592166006e-06
1.542450308684000015e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.792475086314603686e+03,3.742812451969587113e-06
1.542450623809999943e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791425086298957467e+03,4.065586429952040774e-06
1.542450936855000019e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790400086283683777e+03,3.987182908263144298e-06
1.542451249551000118e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790350086282938719e+03,3.842109068899523889e-06
1.542451567216000080e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791675086302682757e+03,3.893727573916465565e-06
1.542451881529000044e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791675086302682757e+03,3.950436581631058963e-06
1.542452194517999887e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790625086287036538e+03,3.831064420026140861e-06
1.542452510161999941e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791000086292624474e+03,3.852697890514400725e-06
1.542452822115999937e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790950086291879416e+03,4.057205963562795390e-06
1.542453138466000080e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790875086290761828e+03,3.876965934658659372e-06
1.542453456842999935e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790675086287781596e+03,4.012420932664197522e-06
1.542453771335999966e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790550086285918951e+03,4.030303610022628853e-06
1.542454084618999958e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790475086284801364e+03,3.955231298528234817e-06
1.542454396713000059e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790475086284801364e+03,3.800754005548833317e-06
1.542454708217999935e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790400086283683777e+03,3.886149369274445227e-06
1.542455022612999916e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790375086283311248e+03,3.713153650250094186e-06
1.542455334747999907e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790325086282566190e+03,3.803347494582107077e-06
1.542455647263000011e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789775086274370551e+03,3.889850653152440785e-06
1.542455959063999891e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789775086274370551e+03,3.824217982051337780e-06
1.542456271865000010e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789750086273998022e+03,3.854976094937541209e-06
1.542456587865000010e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790550086285918951e+03,3.862312863697319056e-06
1.542456900753999949e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790525086285546422e+03,4.004404665265690120e-06
1.542457214187999964e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790425086284056306e+03,3.609404144909065311e-06
1.542457527155999899e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789825086275115609e+03,3.793472054375754225e-06
1.542457843773999929e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.791200086295604706e+03,3.878995913255285927e-06
1.542458157460000038e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790175086280331016e+03,3.671220484956354702e-06
1.542458472025000095e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790575086286291480e+03,3.863249193127020808e-06
1.542458790364000082e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.790950086291879416e+03,3.619079597838461608e-06
1.542459102279999971e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789875086275860667e+03,3.581359887378851152e-06
1.542459414252000093e+09,4.468800000000000000e+04,-8.595000000000000000e+04,5.789225086266174912e+03,3.785632693944105172e-06
