t, u
1.542436518017999887e+09,0.000000000000000000e+00
1.542436548017999887e+09,0.000000000000000000e+00
1.542436578017999887e+09,0.000000000000000000e+00
1.542436608019999981e+09,0.000000000000000000e+00
1.542436638019999981e+09,0.000000000000000000e+00
1.542436668020999908e+09,0.000000000000000000e+00
1.542436698020999908e+09,0.000000000000000000e+00
1.542436728022000074e+09,0.000000000000000000e+00
1.542436758023000002e+09,0.000000000000000000e+00
1.542436788023000002e+09,0.000000000000000000e+00
1.542436829713999987e+09,0.000000000000000000e+00
1.542436859713999987e+09,0.000000000000000000e+00
1.542436889713999987e+09,0.000000000000000000e+00
1.542436919714999914e+09,0.000000000000000000e+00
1.542436949716000080e+09,0.000000000000000000e+00
1.542436979716000080e+09,0.000000000000000000e+00
1.542437009717000008e+09,0.000000000000000000e+00
1.542437039717000008e+09,0.000000000000000000e+00
1.542437069717999935e+09,0.000000000000000000e+00
1.542437099717999935e+09,0.000000000000000000e+00
1.542437141677000046e+09,0.000000000000000000e+00
1.542437171677000046e+09,0.000000000000000000e+00
1.542437201677999973e+09,0.000000000000000000e+00
1.542437231677999973e+09,0.000000000000000000e+00
1.542437261678999901e+09,0.000000000000000000e+00
1.542437291678999901e+09,0.000000000000000000e+00
1.542437321680000067e+09,0.000000000000000000e+00
1.542437351680999994e+09,0.000000000000000000e+00
1.542437381680999994e+09,0.000000000000000000e+00
1.542437411681999922e+09,0.000000000000000000e+00
1.542437454976999998e+09,0.000000000000000000e+00
1.542437484977999926e+09,0.000000000000000000e+00
1.542437514977999926e+09,0.000000000000000000e+00
1.542437544980000019e+09,0.000000000000000000e+00
1.542437574980999947e+09,0.000000000000000000e+00
1.542437604980999947e+09,0.000000000000000000e+00
1.542437634982000113e+09,0.000000000000000000e+00
1.542437664983000040e+09,0.000000000000000000e+00
1.542437694983000040e+09,0.000000000000000000e+00
1.542437724983999968e+09,0.000000000000000000e+00
1.542437769759000063e+09,0.000000000000000000e+00
1.542437799759999990e+09,0.000000000000000000e+00
1.542437829759999990e+09,0.000000000000000000e+00
1.542437859760999918e+09,0.000000000000000000e+00
1.542437889760999918e+09,0.000000000000000000e+00
1.542437919762000084e+09,0.000000000000000000e+00
1.542437949763000011e+09,0.000000000000000000e+00
1.542437979763000011e+09,0.000000000000000000e+00
1.542438009763999939e+09,0.000000000000000000e+00
1.542438039763999939e+09,0.000000000000000000e+00
1.542438081545000076e+09,0.000000000000000000e+00
1.542438111546000004e+09,0.000000000000000000e+00
1.542438141546000004e+09,0.000000000000000000e+00
1.542438171546999931e+09,0.000000000000000000e+00
1.542438201546999931e+09,0.000000000000000000e+00
1.542438231548000097e+09,0.000000000000000000e+00
1.542438261549000025e+09,0.000000000000000000e+00
1.542438291549000025e+09,0.000000000000000000e+00
1.542438321549999952e+09,0.000000000000000000e+00
1.542438351549999952e+09,0.000000000000000000e+00
1.542438394026000023e+09,0.000000000000000000e+00
1.542438424026000023e+09,0.000000000000000000e+00
1.542438454026999950e+09,0.000000000000000000e+00
1.542438484028000116e+09,0.000000000000000000e+00
1.542438514028000116e+09,0.000000000000000000e+00
1.542438544029000044e+09,0.000000000000000000e+00
1.542438574029000044e+09,0.000000000000000000e+00
1.542438604029999971e+09,0.000000000000000000e+00
1.542438634029999971e+09,0.000000000000000000e+00
1.542438664030999899e+09,0.000000000000000000e+00
1.542438710065000057e+09,0.000000000000000000e+00
1.542438740065999985e+09,0.000000000000000000e+00
1.542438770065999985e+09,0.000000000000000000e+00
1.542438800066999912e+09,0.000000000000000000e+00
1.542438830066999912e+09,0.000000000000000000e+00
1.542438860068000078e+09,0.000000000000000000e+00
1.542438890069000006e+09,0.000000000000000000e+00
1.542438920069000006e+09,0.000000000000000000e+00
1.542438950069999933e+09,0.000000000000000000e+00
1.542438980069999933e+09,0.000000000000000000e+00
1.542439024349999905e+09,0.000000000000000000e+00
1.542439054349999905e+09,0.000000000000000000e+00
1.542439084351000071e+09,0.000000000000000000e+00
1.542439114351000071e+09,0.000000000000000000e+00
1.542439144351999998e+09,0.000000000000000000e+00
1.542439174352999926e+09,0.000000000000000000e+00
1.542439204352999926e+09,0.000000000000000000e+00
1.542439234354000092e+09,0.000000000000000000e+00
1.542439264354000092e+09,0.000000000000000000e+00
1.542439294355000019e+09,0.000000000000000000e+00
1.542439337746999979e+09,0.000000000000000000e+00
1.542439367746999979e+09,0.000000000000000000e+00
1.542439397747999907e+09,0.000000000000000000e+00
