time,fluo,light
0.00,0.00000000000,0.0
200.00,0.00000000000,0.0
400.00,0.00000000000,0.0
600.00,0.00000000000,0.0
800.00,0.00000000000,0.0
904.86,0.00101517687,1.0
1548.75,0.00117542695,1.0
2148.75,0.00103015103,1.0
2748.75,0.00098113977,1.0
3348.75,0.00096379840,1.0
3948.75,0.00086358122,1.0
4548.75,0.00085856746,1.0
5148.75,0.00088666575,1.0
5748.75,0.00097176633,1.0
6348.75,0.00102694031,1.0
6948.75,0.00114829967,1.0
7548.75,0.00126771697,1.0
8148.75,0.00153619492,1.0
8748.75,0.00188148121,1.0
9348.75,0.00227664352,1.0
9948.75,0.00279311625,1.0
10548.75,0.00335392902,1.0
11148.75,0.00411567518,1.0
11748.75,0.00500211584,1.0
12348.75,0.00589562164,1.0
12948.75,0.00701615550,1.0
13548.75,0.00853852798,1.0
14148.75,0.01001934634,1.0
14748.75,0.01173815461,1.0
15348.75,0.01333983207,1.0
15948.75,0.01467931788,1.0
16548.75,0.01614146120,1.0
17148.75,0.01821257027,1.0
17748.75,0.01977228121,1.0
18348.75,0.02127356701,1.0
18948.75,0.02285106486,1.0
19548.75,0.02488082401,1.0
20148.75,0.02698219668,1.0
20748.75,0.02898210639,1.0
21348.75,0.03029193337,1.0
21948.75,0.03193125195,1.0
22548.75,0.03361687484,1.0
23148.75,0.03538143959,1.0
23748.75,0.03824099650,1.0
24348.75,0.04008348672,1.0
24948.75,0.04171192705,1.0
25548.75,0.04397486093,1.0
26148.75,0.04629693361,1.0
26748.75,0.04821480826,1.0
27348.75,0.05054417024,1.0
27948.75,0.05294234945,1.0
28548.75,0.05519813152,1.0
29148.75,0.05584815147,1.0
29748.75,0.05803513873,1.0
30348.75,0.05990407502,1.0
30948.75,0.06229196002,1.0
31548.75,0.06358144433,1.0
32148.75,0.06507882067,1.0
32748.75,0.06717199083,1.0
33348.75,0.06889775531,1.0
33948.75,0.07120774842,1.0
34548.75,0.07260146490,1.0
35148.75,0.07532137335,1.0
35748.75,0.07782525069,1.0
36348.75,0.07763134741,1.0
36948.75,0.07864244139,1.0
37548.75,0.07967425375,1.0
38148.75,0.08262880558,1.0
38748.75,0.08417126281,1.0
39348.75,0.08501162009,1.0
39948.75,0.08695904096,1.0
40548.75,0.08796179479,1.0
41148.75,0.09018669104,1.0
41748.75,0.09120778949,1.0
42348.75,0.09242719832,1.0
42948.75,0.09419558155,1.0
43548.75,0.09620865501,1.0
44148.75,0.09886829072,1.0
44748.75,0.10082972316,1.0
45348.75,0.10144832533,1.0
45948.75,0.10193630891,1.0
46548.75,0.10397469170,1.0
47148.75,0.10588200308,1.0
47748.75,0.10696371462,1.0
48348.75,0.10899963013,1.0
48948.75,0.11058680137,1.0
49548.75,0.11230771740,1.0
50148.75,0.11299721978,1.0
50748.75,0.11394766806,1.0
51348.75,0.11563490303,1.0
51948.75,0.11545960248,1.0
52548.75,0.11664866694,1.0
53148.75,0.11789951277,1.0
53748.75,0.11905406776,1.0
54348.75,0.11911069988,1.0
54948.75,0.11881627691,1.0
55548.75,0.11979533719,1.0
56148.75,0.12296363055,1.0
56748.75,0.12352081264,1.0
57348.75,0.12508992943,1.0
57948.75,0.12598948302,1.0
58548.75,0.12654130338,1.0
59148.75,0.12812636747,1.0
59748.75,0.12905297499,1.0
60348.75,0.12853010719,1.0
60948.75,0.12843468379,1.0
61548.75,0.12968524059,1.0
62148.75,0.13010575363,1.0
62748.75,0.13103596891,1.0
63348.75,0.13241337349,1.0
63948.75,0.13285899604,1.0
64548.75,0.13260722348,1.0
65148.75,0.13314400277,1.0
65748.75,0.13209032402,1.0
66348.75,0.13210675305,1.0
66948.75,0.13324027233,1.0
67548.75,0.13343132518,1.0
68148.75,0.13341878954,1.0
68748.75,0.13394493609,1.0
69348.75,0.13543842067,1.0
69948.75,0.13592939039,1.0
70548.75,0.13682475753,1.0
71148.75,0.13716358134,1.0
71748.75,0.13734106406,1.0
72727.13,0.13844209221,1.0
73327.13,0.13292630229,1.0
73927.13,0.13966325988,1.0
74527.13,0.13977816057,1.0
75127.13,0.14093558049,1.0
75727.13,0.14330039395,1.0
76327.13,0.14529560637,1.0
76927.13,0.14705745975,1.0
77527.13,0.14912757421,1.0
78127.13,0.15093220119,1.0
78727.13,0.15354104251,1.0
79327.13,0.15402989256,1.0
79927.13,0.15585366984,1.0
80527.13,0.15742005985,1.0
81127.13,0.15946703533,1.0
81727.13,0.16047209158,1.0
82327.13,0.16165882699,1.0
82927.13,0.16302206896,1.0
83527.13,0.16478429491,1.0
84127.13,0.16464110081,1.0
84727.13,0.16597609378,1.0
85327.13,0.16695109031,1.0
85927.13,0.16853488296,1.0
86527.13,0.16889669596,1.0
87127.13,0.16989365836,1.0
87727.13,0.17058050580,1.0
88327.13,0.17284571834,1.0
88927.13,0.17412056301,1.0
89527.13,0.17472410273,1.0
90127.13,0.17446283365,1.0
90727.13,0.17492887378,1.0
91327.13,0.17444164334,1.0
91927.13,0.17566595620,1.0
92527.13,0.17573301710,1.0
93127.13,0.17508841335,1.0
93727.13,0.17698163431,1.0
94327.13,0.17747663929,1.0
94927.13,0.17739233341,1.0
95527.13,0.17795651440,1.0
96127.13,0.17993607366,1.0
96727.13,0.17897853814,1.0
97327.13,0.17925023883,1.0
97927.13,0.17977407894,1.0
98527.13,0.18150055340,1.0
99127.13,0.18317867965,1.0
99727.13,0.18422089348,1.0
100327.13,0.18496327600,1.0
100927.13,0.18354716593,1.0
101527.13,0.18388858473,1.0
102127.13,0.18399080848,1.0
